YUCATAN Susceptibles 	 Infectados 	 Recuperados 
132.0	2095750.3052760672	614.0877406363976	683.4972970831069
133.0	2095702.4149622805	623.7207277919532	722.1314495092548
134.0	2095654.1478226988	632.7050690434382	761.742147505626
135.0	2095605.552783451	641.0309414905204	802.2907555383944
136.0	2095556.6783029712	648.6911406733452	843.7366259680152
137.0	2095507.5722333586	655.6809982793858	886.0373099240368
138.0	2095458.2816917966	661.9982882068656	929.1487696682221
139.0	2095408.852942125	667.6431226000778	973.0255908179062
140.0	2095359.331286582	672.6178394325703	1017.6211929170771
141.0	2095309.7609676505	676.9268831600841	1062.888036965161
142.0	2095260.1850798747	680.5766798988127	1108.7778286406465
143.0	2095210.6454914606	683.5755085081305	1155.2417160863959
144.0	2095161.1827754055	685.9333688727486	1202.2304812538573
145.0	2095111.8361498734	687.6618485891254	1249.694723932734
146.0	2095062.6434274781	688.7739891667911	1297.5850377195045
147.0	2095013.6409731137	689.284152758752	1345.852177301208
148.0	2094964.86366994	689.2078903377592	1394.4472165490643
149.0	2094916.3448931132	688.5618121382151	1443.3216970289147
150.0	2094868.1164908328	687.3634610881818	1492.4277666413604
151.0	2094820.2087722705	685.6311898630911	1541.7183082034226
152.0	2094772.6505019334	683.3840421032937	1591.1470578750877
153.0	2094725.4689000216	680.6416382522059	1640.668713417984
154.0	2094678.6896483297	677.4240663908608	1690.2390323496475
155.0	2094632.3369012594	673.7517783688065	1739.8149201252452
156.0	2094586.4333015059	669.6454914605408	1789.3545085394592
157.0	2094541.0	665.1260957114007	1838.8172245945264
158.0	2094496.056679694	660.2145670769603	1888.163850126606
159.0	2094451.6215827963	654.9318864056652	1937.3565725218593
160.0	2094407.7115410725	649.2989642654854	1986.3590268862956
161.0	2094364.3420088482	643.3365715717387	2035.13633005996
162.0	2094321.5270983684	637.0652759346549	2083.6551068868234
163.0	2094279.2796171785	630.5053836116904	2131.88350916713
164.0	2094237.611107221	623.6768869205557	2179.7912277295422
165.0	2094196.53188535	616.5994169443784	2227.3494980665137
166.0	2094156.0510849892	609.2922013399125	2274.5310999783815
167.0	2094116.1766986817	601.7740270430468	2321.31035167019
