YUCATAN Susceptibles 	 Infectados 	 Recuperados 
132.0	2095768.1220538297	611.2520447898635	669.8684932456727
133.0	2095718.8794619644	623.8848872449672	707.1628334853027
134.0	2095668.9522792697	636.0815055283203	745.5393355762694
135.0	2095618.3791588955	647.8232382140385	784.9774686789034
136.0	2095567.199293107	659.093091282715	825.4546129639214
137.0	2095515.4522957534	669.8757505281538	866.9461616157879
138.0	2095463.1780878562	680.1575845938949	909.4256286906893
139.0	2095410.4167867154	689.9266391622917	952.8647619601012
140.0	2095357.2085988775	699.1726228531254	997.2336598825341
141.0	2095303.5937172642	707.886885415005	1042.500891864315
142.0	2095249.6122227206	716.0623888113785	1088.6336209946203
143.0	2095195.303990194	723.6936718145184	1135.5977284695575
144.0	2095140.708599716	730.7768087257375	1183.3579389543002
145.0	2095085.86525232	737.3093628390834	1231.8779461702707
146.0	2095030.8126909907	743.2903352592336	1281.1205380355361
147.0	2094975.5891267052	748.7201096730221	1331.04772073027
148.0	2094920.2321695967	753.6003936584523	1381.6208411045898
149.0	2094864.778765237	757.934157095794	1432.800706892942
150.0	2094809.2651360112	761.7255682229643	1484.5477042466364
151.0	2094753.7267275304	764.9799278523981	1536.8219121439417
152.0	2094698.1981600036	767.7036022394807	1589.5832132845842
153.0	2094642.713184476	769.9039550639045	1642.791401122393
154.0	2094587.3046438138	771.5892789553016	1696.4062827356595
155.0	2094532.004438309	772.7687269638111	1750.38777727932
156.0	2094476.8434957569	773.4522443449971	1804.6960098059988
157.0	2094421.851745849	773.6505009973	1859.291400284076
158.0	2094367.0580987185	773.3748248590693	1914.1347476800377
159.0	2094312.490427461	772.637136541618	1969.187309009354
160.0	2094258.175554449	771.4498854447788	2024.4108732947698
161.0	2094204.1392412605	769.8259875723693	2079.767830403292
162.0	2094150.4061820244	767.778765236958	2135.221234763042
163.0	2094097.0	765.3218888164602	2190.734863988736
164.0	2094043.9432471949	762.4693206995726	2246.2732724696007
165.0	2093991.2574068308	759.2352615327886	2301.80183999634
166.0	2093938.962898471	755.6340988591455	2357.286815524065
167.0	2093887.0790856169	751.6803582173834	2412.6953561862974
168.0	2093835.6242855964	747.3886567505979	2467.995561690961
169.0	2093784.6157815584	742.7736593550817	2523.156504243131
170.0	2093734.0698364018	737.8500373833535	2578.148254150996
171.0	2093684.0017084656	732.6324298999984	2632.941901281376
172.0	2093634.4256688186	727.1354074751443	2687.509572539107
173.0	2093585.3550199857	721.3734384878708	2741.824445550972
