YUCATAN Infectados-totales 	 Recuperados 
109.0	399.83648060065383	173.24526194003158
110.0	422.26026025577346	184.78380148892225
111.0	445.653323964218	196.94028187892354
112.0	470.0418878787555	209.7380724644883
113.0	495.4521707336035	223.200897091815
114.0	521.9103640951527	237.3528144518351
115.0	549.4426022969657	252.2181974225507
116.0	578.0749321204029	267.8217114347033
117.0	607.8332822827783	284.18829189779933
118.0	638.7434327952626	301.3431207264057
119.0	670.8309842528527	319.3116020094402
120.0	704.1213271186615	338.1193368677178
121.0	738.6396110645	357.79209754755203
122.0	774.4107144292659	378.3558008003898
123.0	811.4592138560001	399.83648060065383
124.0	849.8093541676807	422.26026025577346
125.0	889.4850185407545	445.653323964218
126.0	930.5096990343847	470.0418878787555
127.0	972.9064675318899	495.4521707336035
128.0	1016.6979471496103	521.9103640951527
129.0	1061.9062841665943	549.4426022969657
130.0	1108.5531205270054	578.0749321204029
131.0	1156.6595669650558	607.8332822827783
132.0	1206.2461768005287	638.7434327952626
133.0	1257.3329204506585	670.8309842528527
134.0	1309.9391607021753	704.1213271186615
135.0	1364.0836287848626	738.6396110645
136.0	1419.7844012858327	774.4107144292659
137.0	1477.05887794118	811.4592138560001
138.0	1535.9237603393094	849.8093541676807
139.0	1596.3950315676966	889.4850185407545
140.0	1658.4879368323084	930.5096990343847
141.0	1722.2169650763485	972.9064675318899
142.0	1787.5958316224037	1016.6979471496103
143.0	1854.637461859481	1061.9062841665943
144.0	1923.353975993802	1108.5531205270054
145.0	1993.7566748796844	1156.6595669650558
146.0	2065.856026944167	1206.2461768005287
147.0	2139.661656216634	1257.3329204506585
148.0	2215.1823314719654	1309.9391607021753
149.0	2292.425956493483	1364.0836287848626
150.0	2371.399561459264	1419.7844012858327
151.0	2452.1092954532874	1477.05887794118
152.0	2534.5604201001865	1535.9237603393094
153.0	2618.757304320505	1596.3950315676966
154.0	2704.703420200702	1658.4879368323084
155.0	2792.4013399704263	1722.2169650763485
156.0	2881.852734077125	1787.5958316224037
157.0	2973.0583703463817	1854.637461859481
158.0	3066.0181142142055	1923.353975993802
159.0	3160.7309300158354	1993.7566748796844
160.0	3257.1948833137726	2065.856026944167
161.0	3355.407144246166	2139.661656216634
162.0	3455.3639918750496	2215.1823314719654
163.0	3557.060819512508	2292.425956493483
164.0	3660.49214100141	2371.399561459264
165.0	3765.651597926109	2452.1092954532874
166.0	3872.531967727273	2534.5604201001865
167.0	3981.1251726939245	2618.757304320505
168.0	4091.4222898047815	2704.703420200702
169.0	4203.41356138995	2792.4013399704263
170.0	4317.088406583472	2881.852734077125
171.0	4432.435433536073	2973.0583703463817
172.0	4549.442452357322	3066.0181142142055
173.0	4668.096488755309	3160.7309300158354
174.0	4788.38379834204	3257.1948833137726
175.0	4910.289881571785	3355.407144246166
176.0	5033.799499279901	3455.3639918750496
177.0	5158.8966887888355	3557.060819512508
178.0	5285.564780548457	3660.49214100141
179.0	5413.786415277194	3765.651597926109
180.0	5543.543561571086	3872.531967727273
181.0	5674.817533947266	3981.1251726939245
182.0	5807.589011289199	4091.4222898047815
183.0	5941.8380556606	4203.41356138995
184.0	6077.544131455596	4317.088406583472
185.0	6214.686124853017	4432.435433536073
186.0	6353.242363542708	4549.442452357322
187.0	6493.190636692754	4668.096488755309
188.0	6634.508215126356	4788.38379834204
189.0	6777.1718716782525	4910.289881571785
190.0	6921.157901700516	5033.799499279901
191.0	7066.442143688786	5158.8966887888355
192.0	7213.0	5285.564780548457
193.0	7360.806457634025	5413.786415277194
194.0	7509.836109051599	5543.543561571086
195.0	7660.063173002455	5674.817533947266
196.0	7811.461515337517	5807.589011289199
197.0	7964.004669780552	5941.8380556606
198.0	8117.665858634796	6077.544131455596
199.0	8272.418013401526	6214.686124853017
200.0	8428.233795287751	6353.242363542708
201.0	8585.085615581651	6493.190636692754
202.0	8742.945655874659	6634.508215126356
203.0	8901.785888110544	6777.1718716782525
204.0	9061.578094442106	6921.157901700516
205.0	9222.293886877407	7066.442143688786
206.0	9383.904726698323	7213.0
207.0	9546.381943634551	7360.806457634025
208.0	9709.696754777944	7509.836109051599
209.0	9873.820283221947	7660.063173002455
210.0	10038.723576412676	7811.461515337517
211.0	10204.377624198161	7964.004669780552
212.0	10370.75337656398	8117.665858634796
213.0	10537.82176104346	8272.418013401526
214.0	10705.553699792337	8428.233795287751
215.0	10873.920126317655	8585.085615581651
216.0	11042.892001852388	8742.945655874659
