YUCATAN Infectados-totales 	 Recuperados 
53.0	0.013277442628386846	2.1003151456424512e-05
54.0	0.019172960747805685	3.651938491915471e-05
55.0	0.02739480167965137	6.249474963981766e-05
56.0	0.03874215061567732	0.00010530378085778325
57.0	0.05424558825647942	0.0001747906819160805
58.0	0.07522030663526859	0.00028592650924765087
59.0	0.10332775729048332	0.00046114227835026216
60.0	0.14064616394586232	0.0007335624895666471
61.0	0.18975015095477618	0.0011514182894769
62.0	0.2537995167890227	0.0017839808284318137
63.0	0.33663692188692984	0.0027294220515321987
64.0	0.44289396750565824	0.004125080119029647
65.0	0.578104824269802	0.006160677029587624
66.0	0.7488262352409437	0.009095103133531115
67.0	0.9627623795460101	0.013277442628386846
68.0	1.2288927510884802	0.019172960747805685
69.0	1.5576008954949208	0.02739480167965137
70.0	1.9608015701855124	0.03874215061567732
71.0	2.4520636597559125	0.05424558825647942
72.0	3.0467260030656687	0.07522030663526859
73.0	3.762003179226546	0.10332775729048332
74.0	4.617078264611948	0.14064616394586232
75.0	5.633179617081703	0.18975015095477618
76.0	6.833638869070505	0.2537995167890227
77.0	8.243927517356894	0.33663692188692984
78.0	9.891669780650979	0.44289396750565824
79.0	11.806629750305573	0.578104824269802
80.0	14.020671275675323	0.7488262352409437
81.0	16.56768949301501	0.9627623795460101
82.0	19.483513412744575	1.2288927510884802
83.0	22.805779510679262	1.5576008954949208
84.0	26.573776810057666	1.9608015701855124
85.0	30.8282644784306	2.4520636597559125
86.0	35.61126348265772	3.0467260030656687
87.0	40.965824333230756	3.762003179226546
88.0	46.935773394046834	4.617078264611948
89.0	53.56544062536294	5.633179617081703
90.0	60.899371957637186	6.833638869070505
91.0	68.98202975601986	8.243927517356894
92.0	77.8574850252608	9.891669780650979
93.0	87.569105120731	11.806629750305573
94.0	98.15924077318611	14.020671275675323
95.0	109.66891620480583	16.56768949301501
96.0	122.13752601562746	19.483513412744575
97.0	135.6025423579933	22.805779510679262
98.0	150.09923569847138	26.573776810057666
99.0	165.66041219931603	30.8282644784306
100.0	182.31617044299068	35.61126348265772
101.0	200.09367988207907	40.965824333230756
102.0	219.0169830316749	46.935773394046834
103.0	239.1068230406422	53.56544062536294
104.0	260.3804978901593	60.899371957637186
105.0	282.8517420804776	68.98202975601986
106.0	306.53063628693565	77.8574850252608
107.0	331.42354510030094	87.569105120731
108.0	357.5330826200372	98.15924077318611
109.0	384.8581053467161	109.66891620480583
110.0	413.39373152527344	122.13752601562746
111.0	443.1313858270174	135.6025423579933
112.0	474.0588680271994	150.09923569847138
113.0	506.1604441377401	165.66041219931603
114.0	539.4169582917889	182.31617044299068
115.0	573.805963547915	200.09367988207907
116.0	609.3018696860105	219.0169830316749
117.0	645.8761060030736	239.1068230406422
118.0	683.4972970831069	260.3804978901593
119.0	722.1314495092548	282.8517420804776
120.0	761.742147505626	306.53063628693565
121.0	802.2907555383944	331.42354510030094
122.0	843.7366259680152	357.5330826200372
123.0	886.0373099240368	384.8581053467161
124.0	929.1487696682221	413.39373152527344
125.0	973.0255908179062	443.1313858270174
126.0	1017.6211929170771	474.0588680271994
127.0	1062.888036965161	506.1604441377401
128.0	1108.7778286406465	539.4169582917889
129.0	1155.2417160863959	573.805963547915
130.0	1202.2304812538573	609.3018696860105
131.0	1249.694723932734	645.8761060030736
132.0	1297.5850377195045	683.4972970831069
133.0	1345.852177301208	722.1314495092548
134.0	1394.4472165490643	761.742147505626
135.0	1443.3216970289147	802.2907555383944
136.0	1492.4277666413604	843.7366259680152
137.0	1541.7183082034226	886.0373099240368
138.0	1591.1470578750877	929.1487696682221
139.0	1640.668713417984	973.0255908179062
140.0	1690.2390323496475	1017.6211929170771
141.0	1739.8149201252452	1062.888036965161
