MCL,MCLG,MCR,MCRG,MCG,MCGG,CASOS
18.7937094,11.8000764,14.89109089,14.92124981,54.25173996,54.752101,
17.51080482,10.76161536,13.66114389,13.69147221,54.36094933,54.88279261,
16.2861963,9.781446538,12.50967618,12.52738621,54.4319301,54.97504356,
15.12194615,8.858939697,11.43588649,11.4316122,54.46550994,55.0296381,
14.01916023,7.996137732,10.43807572,10.40677054,54.4625725,55.04741836,
12.97811738,7.195083535,9.513838242,9.45548161,54.42405175,55.02927872,
11.99839442,6.457819998,8.660232746,8.580365784,54.35092641,54.97616042,
11.078984,5.786390013,7.873931595,7.784043437,54.24421462,54.88904616,
10.21840344,5.182836473,7.151348791,7.069134942,54.10496865,54.76895503,
9.414793369,4.649202268,6.488747492,6.437194894,53.93426992,54.61693746,
8.666005725,4.187530293,5.882328593,5.863095581,53.73322415,54.43407043,
7.969680967,3.797145997,5.328302182,5.323278329,53.50295677,54.22145285,
7.323314878,3.43848166,4.822943857,4.818100708,53.24460844,53.9802012,
6.724315493,3.097839926,4.362637917,4.348181094,52.95933095,53.71144528,
6.170050892,2.77921612,3.943909339,3.914137862,52.64828322,53.41632428,
5.657888671,2.483525741,3.563446355,3.516589388,52.31262756,53.09598299,
5.185228004,2.211684291,3.218115264,3.156154047,51.95352623,52.75156828,
4.749525121,1.96460727,2.904968928,2.833450215,51.57213809,52.38422578,
4.348313099,1.743210178,2.621250223,2.549096268,51.16961565,51.9950968,
3.979216734,1.548408516,2.364391538,2.303710581,50.74710216,51.58531542,
3.639963245,1.381117784,2.132011242,2.09697243,50.30572909,51.15600586,
3.328389474,1.242253482,1.92190788,1.903932335,49.84661369,50.70828002,
3.042446192,1.131299992,1.732052758,1.719198302,49.37085686,50.2432352,
2.780200018,1.021117134,1.560581406,1.548020663,48.87954112,49.76195209,
2.539833436,0.914088222,1.405784349,1.39042127,48.37372891,49.26549291,
2.319643282,0.816645926,1.266097517,1.246421972,47.85446091,48.75489971,
2.118038054,0.728523171,1.140092541,1.116044621,47.32275473,48.2311929,
1.933534335,0.649452887,1.026467139,0.999311069,46.77960359,47.69536994,
1.764752548,0.579168,0.924035729,0.896243165,46.22597527,47.14840416,
1.610412266,0.517401438,0.831720393,0.806862762,45.66281123,46.59124376,
1.469327225,0.463886129,0.748542235,0.731191709,45.09102578,46.02481097,
