YUCATAN Infectados-totales 	 Recuperados 
186.0	6678.394046858327	4674.564845846324
187.0	6837.561321675304	4803.626784790213
188.0	6998.8206372562645	4934.864835899004
189.0	7162.159989247632	5068.278382764826
190.0	7327.566618898214	5203.865963521849
191.0	7495.027023943976	5341.6252730465385
192.0	7664.526969978145	5481.553165879233
193.0	7836.051502286727	5623.645659854208
194.0	8009.5849581292	5767.8979404246775
195.0	8185.110979444123	5914.304365668061
196.0	8362.612525959295	6062.858471956715
197.0	8542.071888685865	6213.552980278137
198.0	8723.470703775929	6366.3798031883325
199.0	8906.789966722987	6521.330052381485
200.0	9092.010046884845	6678.394046858327
201.0	9279.110702308322	6837.561321675304
202.0	9468.071094835523	6998.8206372562645
203.0	9658.869805471219	7162.159989247632
204.0	9851.484849991439	7327.566618898214
205.0	10045.893694773078	7495.027023943976
206.0	10242.073272824846	7664.526969978145
207.0	10440.0	7836.051502286727
208.0	10639.649791371618	8009.5849581292
209.0	10840.998077751205	8185.110979444123
210.0	11044.019822332035	8362.612525959295
211.0	11248.689537438751	8542.071888685865
212.0	11454.981301364987	8723.470703775929
213.0	11662.868775281482	8906.789966722987
214.0	11872.325220196863	9092.010046884845
215.0	12083.32351395459	9279.110702308322
216.0	12295.836168248825	9468.071094835523
217.0	12509.83534564345	9658.869805471219
218.0	12725.292876578054	9851.484849991439
219.0	12942.180276345716	10045.893694773078
220.0	13160.468762027343	10242.073272824846
221.0	13380.129269368123	10440.0
222.0	13601.132469582068	10639.649791371618
223.0	13823.448786070803	10840.998077751205
224.0	14047.048411043612	11044.019822332035
225.0	14271.90132202565	11248.689537438751
226.0	14497.977298242535	11454.981301364987
227.0	14725.24593686897	11662.868775281482
228.0	14953.676669130511	11872.325220196863
229.0	15183.238776247274	12083.32351395459
230.0	15413.901405209406	12295.836168248825
231.0	15645.633584374176	12509.83534564345
